Plate,Sample,Gate,Count,%Total,%Gated
0-2.5,A1,GFP+,1791.5,2.428,5.59
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,R1,32051,43.433,43.433
0-2.5,A1,mCh+,29988,40.638,93.563
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,R1,32051,43.433,43.433
0-2.5,A1,R1,32051,43.433,43.433
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,mCherry-/GFP+,1680.5,2.277,5.243
0-2.5,A1,mCherry+/GFP+,142,0.192,0.443
0-2.5,A1,mCherry-/GFP-,300.5,0.407,0.938
0-2.5,A1,mCherry+/GFP-,29928,40.556,93.376
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,R1,32051,43.433,43.433
0-2.5,A1,R2,17421.5,23.608,58.095
0-2.5,A1,R4,105.5,0.143,0.352
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,mCh+,29988,40.638,40.638
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,R2,17421.5,23.608,23.608
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,R3,1413,1.915,1.915
0-2.5,A1,R3,1413,1.915,78.872
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,GFP+,1791.5,2.428,2.428
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,R4,105.5,0.143,0.143
0-2.5,A1,All Events,73793.5,100,100
0-2.5,A1,R1,32051,43.433,43.433
0-2.5,A1,LG1,29988,40.638,40.638
0-2.5,A2,GFP+,1680.5,2.458,5.862
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,R1,28665.5,41.932,41.932
0-2.5,A2,mCh+,26776.5,39.169,93.41
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,R1,28665.5,41.932,41.932
0-2.5,A2,R1,28665.5,41.932,41.932
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,mCherry-/GFP+,1581,2.313,5.515
0-2.5,A2,mCherry+/GFP+,118.5,0.173,0.413
0-2.5,A2,mCherry-/GFP-,246,0.36,0.858
0-2.5,A2,mCherry+/GFP-,26720,39.086,93.213
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,R1,28665.5,41.932,41.932
0-2.5,A2,R2,15480,22.644,57.812
0-2.5,A2,R4,96.5,0.141,0.36
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,mCh+,26776.5,39.169,39.169
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,R2,15480,22.644,22.644
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,R3,1352,1.978,1.978
0-2.5,A2,R3,1352,1.978,80.452
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,GFP+,1680.5,2.458,2.458
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,R4,96.5,0.141,0.141
0-2.5,A2,All Events,68362,100,100
0-2.5,A2,R1,28665.5,41.932,41.932
0-2.5,A2,LG1,26776.5,39.169,39.169
0-2.5,A3,GFP+,958,1.648,5.198
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,R1,18430.5,31.715,31.715
0-2.5,A3,mCh+,17278,29.731,93.747
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,R1,18430.5,31.715,31.715
0-2.5,A3,R1,18430.5,31.715,31.715
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,mCherry-/GFP+,914,1.573,4.959
0-2.5,A3,mCherry+/GFP+,58.5,0.101,0.317
0-2.5,A3,mCherry-/GFP-,199.5,0.343,1.082
0-2.5,A3,mCherry+/GFP-,17258.5,29.698,93.641
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,R1,18430.5,31.715,31.715
0-2.5,A3,R2,10009.5,17.224,57.932
0-2.5,A3,R4,48,0.083,0.278
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,mCh+,17278,29.731,29.731
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,R2,10009.5,17.224,17.224
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,R3,787,1.354,1.354
0-2.5,A3,R3,787,1.354,82.15
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,GFP+,958,1.648,1.648
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,R4,48,0.083,0.083
0-2.5,A3,All Events,58113.5,100,100
0-2.5,A3,R1,18430.5,31.715,31.715
0-2.5,A3,LG1,17278,29.731,29.731
0-2.5,A4,GFP+,3.5,0.009,3.804
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,R1,92,0.234,0.234
0-2.5,A4,mCh+,32.5,0.083,35.326
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,R1,92,0.234,0.234
0-2.5,A4,R1,92,0.234,0.234
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,mCherry-/GFP+,3.5,0.009,3.804
0-2.5,A4,mCherry+/GFP+,0,0,0
0-2.5,A4,mCherry-/GFP-,55,0.14,59.783
0-2.5,A4,mCherry+/GFP-,33.5,0.085,36.413
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,R1,92,0.234,0.234
0-2.5,A4,R2,18,0.046,55.385
0-2.5,A4,R4,0,0,0
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,mCh+,32.5,0.083,0.083
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,R2,18,0.046,0.046
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,R3,2.5,0.006,0.006
0-2.5,A4,R3,2.5,0.006,71.429
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,GFP+,3.5,0.009,0.009
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,R4,0,0,0
0-2.5,A4,All Events,39321.5,100,100
0-2.5,A4,R1,92,0.234,0.234
0-2.5,A4,LG1,32.5,0.083,0.083
0-2.5,A5,GFP+,2384.5,2.981,6.083
0-2.5,A5,All Events,79984,100,100
0-2.5,A5,R1,39198,49.007,49.007
0-2.5,A5,mCh+,36579,45.733,93.319
0-2.5,A5,All Events,79984,100,100
0-2.5,A5,R1,39198,49.007,49.007
0-2.5,A5,R1,39198,49.007,49.007
