Plate,Sample,Gate,Count,%Total,%Gated
3-5.5,A1,GFP+,1579,2.988,12.646
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,R1,12486,23.628,23.628
3-5.5,A1,mCh+,9721,18.396,77.855
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,R1,12486,23.628,23.628
3-5.5,A1,R1,12486,23.628,23.628
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,mCherry-/GFP+,1566,2.963,12.542
3-5.5,A1,mCherry+/GFP+,54,0.102,0.432
3-5.5,A1,mCherry-/GFP-,1179,2.231,9.443
3-5.5,A1,mCherry+/GFP-,9687,18.332,77.583
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,R1,12486,23.628,23.628
3-5.5,A1,R2,5970,11.298,61.413
3-5.5,A1,R4,46,0.087,0.473
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,mCh+,9721,18.396,18.396
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,R2,5970,11.298,11.298
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,R3,1372,2.596,2.596
3-5.5,A1,R3,1372,2.596,86.890
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,GFP+,1579,2.988,2.988
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,R4,46,0.087,0.087
3-5.5,A1,All Events,52843,100.000,100.000
3-5.5,A1,R1,12486,23.628,23.628
3-5.5,A1,LG1,9721,18.396,18.396
3-5.5,A2,GFP+,1525,3.311,13.161
3-5.5,A2,All Events,46053,100.000,100.000
3-5.5,A2,R1,11587,25.160,25.160
3-5.5,A2,mCh+,9147,19.862,78.942
3-5.5,A2,All Events,46053,100.000,100.000
3-5.5,A2,R1,11587,25.160,25.160
3-5.5,A2,R1,11587,25.160,25.160
3-5.5,A2,All Events,46053,100.000,100.000
3-5.5,A2,mCherry-/GFP+,1525,3.311,13.161
3-5.5,A2,mCherry+/GFP+,33,0.072,0.285
3-5.5,A2,mCherry-/GFP-,892,1.937,7.698
3-5.5,A2,mCherry+/GFP-,9137,19.840,78.856
3-5.5,A2,All Events,46053,100.000,100.000
