Plate,Sample,Gate,Count,%Total,%Gated
6-7,A1,GFP+,5016,10.175,19.788
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,R1,25349,51.423,51.423
6-7,A1,mCh+,19584,39.728,77.257
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,R1,25349,51.423,51.423
6-7,A1,R1,25349,51.423,51.423
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,mCherry-/GFP+,4868,9.875,19.204
6-7,A1,mCherry+/GFP+,281,0.570,1.109
6-7,A1,mCherry-/GFP-,693,1.406,2.734
6-7,A1,mCherry+/GFP-,19507,39.572,76.954
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,R1,25349,51.423,51.423
6-7,A1,R2,11174,22.668,57.057
6-7,A1,R4,215,0.436,1.098
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,mCh+,19584,39.728,39.728
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,R2,11174,22.668,22.668
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,R3,4319,8.762,8.762
6-7,A1,R3,4319,8.762,86.104
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,GFP+,5016,10.175,10.175
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,R4,215,0.436,0.436
6-7,A1,All Events,49295,100.000,100.000
6-7,A1,R1,25349,51.423,51.423
6-7,A1,LG1,19584,39.728,39.728
6-7,A2,GFP+,4504,10.725,21.202
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,R1,21243,50.585,50.585
6-7,A2,mCh+,16187,38.545,76.199
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,R1,21243,50.585,50.585
6-7,A2,R1,21243,50.585,50.585
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,mCherry-/GFP+,4375,10.418,20.595
6-7,A2,mCherry+/GFP+,251,0.598,1.182
6-7,A2,mCherry-/GFP-,531,1.264,2.500
6-7,A2,mCherry+/GFP-,16086,38.305,75.724
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,R1,21243,50.585,50.585
6-7,A2,R2,9336,22.231,57.676
6-7,A2,R4,202,0.481,1.248
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,mCh+,16187,38.545,38.545
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,R2,9336,22.231,22.231
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,R3,3816,9.087,9.087
6-7,A2,R3,3816,9.087,84.725
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,GFP+,4504,10.725,10.725
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,R4,202,0.481,0.481
6-7,A2,All Events,41995,100.000,100.000
6-7,A2,R1,21243,50.585,50.585
6-7,A2,LG1,16187,38.545,38.545
6-7,A3,GFP+,2077,7.050,20.202
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,R1,10281,34.899,34.899
6-7,A3,mCh+,7833,26.589,76.189
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,R1,10281,34.899,34.899
6-7,A3,R1,10281,34.899,34.899
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,mCherry-/GFP+,2072,7.034,20.154
6-7,A3,mCherry+/GFP+,69,0.234,0.671
6-7,A3,mCherry-/GFP-,301,1.022,2.928
6-7,A3,mCherry+/GFP-,7839,26.610,76.247
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,R1,10281,34.899,34.899
6-7,A3,R2,4807,16.318,61.369
6-7,A3,R4,58,0.197,0.740
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,mCh+,7833,26.589,26.589
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,R2,4807,16.318,16.318
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,R3,1813,6.154,6.154
6-7,A3,R3,1813,6.154,87.289
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,GFP+,2077,7.050,7.050
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,R4,58,0.197,0.197
6-7,A3,All Events,29459,100.000,100.000
6-7,A3,R1,10281,34.899,34.899
6-7,A3,LG1,7833,26.589,26.589
6-7,A4,GFP+,7,0.038,9.589
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,R1,73,0.401,0.401
6-7,A4,mCh+,28,0.154,38.356
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,R1,73,0.401,0.401
6-7,A4,R1,73,0.401,0.401
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,mCherry-/GFP+,7,0.038,9.589
6-7,A4,mCherry+/GFP+,1,0.005,1.370
6-7,A4,mCherry-/GFP-,38,0.209,52.055
6-7,A4,mCherry+/GFP-,27,0.148,36.986
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,R1,73,0.401,0.401
6-7,A4,R2,17,0.093,60.714
6-7,A4,R4,0,0.000,0.000
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,mCh+,28,0.154,0.154
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,R2,17,0.093,0.093
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,R3,7,0.038,0.038
6-7,A4,R3,7,0.038,100.000
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,GFP+,7,0.038,0.038
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,R4,0,0.000,0.000
6-7,A4,All Events,18185,100.000,100.000
6-7,A4,R1,73,0.401,0.401
6-7,A4,LG1,28,0.154,0.154
6-7,A5,GFP+,2109,7.809,24.861
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,R1,8483,31.409,31.409
6-7,A5,mCh+,6039,22.360,71.189
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,R1,8483,31.409,31.409
6-7,A5,R1,8483,31.409,31.409
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,mCherry-/GFP+,2112,7.820,24.897
6-7,A5,mCherry+/GFP+,58,0.215,0.684
6-7,A5,mCherry-/GFP-,249,0.922,2.935
6-7,A5,mCherry+/GFP-,6064,22.453,71.484
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,R1,8483,31.409,31.409
6-7,A5,R2,3857,14.281,63.868
6-7,A5,R4,52,0.193,0.861
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,mCh+,6039,22.360,22.360
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,R2,3857,14.281,14.281
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,R3,1762,6.524,6.524
6-7,A5,R3,1762,6.524,83.547
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,GFP+,2109,7.809,7.809
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,R4,52,0.193,0.193
6-7,A5,All Events,27008,100.000,100.000
6-7,A5,R1,8483,31.409,31.409
6-7,A5,LG1,6039,22.360,22.360
6-7,A6,GFP+,1332,5.762,27.357
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,R1,4869,21.064,21.064
6-7,A6,mCh+,3295,14.255,67.673
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,R1,4869,21.064,21.064
6-7,A6,R1,4869,21.064,21.064
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,mCherry-/GFP+,1337,5.784,27.459
6-7,A6,mCherry+/GFP+,34,0.147,0.698
6-7,A6,mCherry-/GFP-,186,0.805,3.820
6-7,A6,mCherry+/GFP-,3312,14.328,68.022
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,R1,4869,21.064,21.064
6-7,A6,R2,2176,9.414,66.039
6-7,A6,R4,26,0.112,0.789
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,mCh+,3295,14.255,14.255
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,R2,2176,9.414,9.414
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,R3,1113,4.815,4.815
6-7,A6,R3,1113,4.815,83.559
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,GFP+,1332,5.762,5.762
6-7,A6,All Events,23115,100.000,100.000
6-7,A6,R4,26,0.112,0.112
