Gate,X Parameter,Y Parameter,Count,%Total,%Gated
GFP+,BL1-A,,3334,33.340,67.723
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4923,49.230,49.230
mCh+,YL2-A,,65,0.650,1.320
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4923,49.230,49.230
R1,FSC-H,SSC-H,4923,49.230,49.230
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3463,34.630,70.343
mCherry+/GFP+,YL2-A,BL1-A,30,0.300,0.609
mCherry-/GFP-,YL2-A,BL1-A,1322,13.220,26.854
mCherry+/GFP-,YL2-A,BL1-A,108,1.080,2.194
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4923,49.230,49.230
R2,BL1-A,YL2-A,40,0.400,61.538
R4,BL1-A,YL2-A,16,0.160,24.615
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,65,0.650,0.650
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,40,0.400,0.400
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2672,26.720,26.720
R3,BL1-A,YL2-A,2672,26.720,80.144
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3334,33.340,33.340
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,16,0.160,0.160
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4923,49.230,49.230
LG1,,,65,0.650,0.650
GFP+,BL1-A,,5863,58.630,71.947
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,8149,81.490,81.490
mCh+,YL2-A,,174,1.740,2.135
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,8149,81.490,81.490
R1,FSC-H,SSC-H,8149,81.490,81.490
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,6209,62.090,76.193
mCherry+/GFP+,YL2-A,BL1-A,207,2.070,2.540
mCherry-/GFP-,YL2-A,BL1-A,1577,15.770,19.352
mCherry+/GFP-,YL2-A,BL1-A,156,1.560,1.914
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,8149,81.490,81.490
R2,BL1-A,YL2-A,12,0.120,6.897
R4,BL1-A,YL2-A,78,0.780,44.828
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,174,1.740,1.740
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,12,0.120,0.120
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4504,45.040,45.040
R3,BL1-A,YL2-A,4504,45.040,76.821
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5863,58.630,58.630
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,78,0.780,0.780
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,8149,81.490,81.490
LG1,,,174,1.740,1.740
GFP+,BL1-A,,6397,63.970,72.875
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,8778,87.780,87.780
mCh+,YL2-A,,405,4.050,4.614
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,8778,87.780,87.780
R1,FSC-H,SSC-H,8778,87.780,87.780
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,7234,72.340,82.411
mCherry+/GFP+,YL2-A,BL1-A,840,8.400,9.569
mCherry-/GFP-,YL2-A,BL1-A,561,5.610,6.391
mCherry+/GFP-,YL2-A,BL1-A,143,1.430,1.629
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,8778,87.780,87.780
R2,BL1-A,YL2-A,14,0.140,3.457
R4,BL1-A,YL2-A,188,1.880,46.420
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,405,4.050,4.050
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,14,0.140,0.140
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4415,44.150,44.150
R3,BL1-A,YL2-A,4415,44.150,69.017
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,6397,63.970,63.970
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,188,1.880,1.880
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,8778,87.780,87.780
LG1,,,405,4.050,4.050
GFP+,BL1-A,,6082,60.820,68.253
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,8911,89.110,89.110
mCh+,YL2-A,,334,3.340,3.748
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,8911,89.110,89.110
R1,FSC-H,SSC-H,8911,89.110,89.110
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,7615,76.150,85.456
mCherry+/GFP+,YL2-A,BL1-A,765,7.650,8.585
mCherry-/GFP-,YL2-A,BL1-A,450,4.500,5.050
mCherry+/GFP-,YL2-A,BL1-A,81,0.810,0.909
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,8911,89.110,89.110
R2,BL1-A,YL2-A,6,0.060,1.796
R4,BL1-A,YL2-A,129,1.290,38.623
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,334,3.340,3.340
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,6,0.060,0.060
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4267,42.670,42.670
R3,BL1-A,YL2-A,4267,42.670,70.158
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,6082,60.820,60.820
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,129,1.290,1.290
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,8911,89.110,89.110
LG1,,,334,3.340,3.340
GFP+,BL1-A,,5526,55.260,66.378
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,8325,83.250,83.250
mCh+,YL2-A,,952,9.520,11.435
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,8325,83.250,83.250
R1,FSC-H,SSC-H,8325,83.250,83.250
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,6003,60.030,72.108
mCherry+/GFP+,YL2-A,BL1-A,1153,11.530,13.850
mCherry-/GFP-,YL2-A,BL1-A,572,5.720,6.871
mCherry+/GFP-,YL2-A,BL1-A,597,5.970,7.171
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,8325,83.250,83.250
R2,BL1-A,YL2-A,55,0.550,5.777
R4,BL1-A,YL2-A,394,3.940,41.387
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,952,9.520,9.520
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,55,0.550,0.550
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3667,36.670,36.670
R3,BL1-A,YL2-A,3667,36.670,66.359
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5526,55.260,55.260
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,394,3.940,3.940
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,8325,83.250,83.250
LG1,,,952,9.520,9.520
GFP+,BL1-A,,4982,49.820,68.079
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,7318,73.180,73.180
mCh+,YL2-A,,592,5.920,8.090
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,7318,73.180,73.180
R1,FSC-H,SSC-H,7318,73.180,73.180
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5707,57.070,77.986
mCherry+/GFP+,YL2-A,BL1-A,487,4.870,6.655
mCherry-/GFP-,YL2-A,BL1-A,588,5.880,8.035
mCherry+/GFP-,YL2-A,BL1-A,536,5.360,7.324
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,7318,73.180,73.180
R2,BL1-A,YL2-A,63,0.630,10.642
R4,BL1-A,YL2-A,220,2.200,37.162
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,592,5.920,5.920
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,63,0.630,0.630
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3550,35.500,35.500
R3,BL1-A,YL2-A,3550,35.500,71.257
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4982,49.820,49.820
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,220,2.200,2.200
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,7318,73.180,73.180
LG1,,,592,5.920,5.920
GFP+,BL1-A,,37,0.370,23.871
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,155,1.550,1.550
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,155,1.550,1.550
R1,FSC-H,SSC-H,155,1.550,1.550
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,40,0.400,25.806
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,113,1.130,72.903
mCherry+/GFP-,YL2-A,BL1-A,2,0.020,1.290
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,155,1.550,1.550
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,25,0.250,0.250
R3,BL1-A,YL2-A,25,0.250,67.568
All Events,BL1-A,YL2-A,10000,100.000,100.000
