Plate,Sample,Gate,X Parameter,Y Parameter,Count,%Total,%Gated
Invasion 1.5-2.5hr,A1,GFP+,BL1-A,,3567,35.670,62.056
Invasion 1.5-2.5hr,A1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,R1,BL1-A,,5748,57.480,57.480
Invasion 1.5-2.5hr,A1,mCh+,YL2-A,,412,4.120,7.168
Invasion 1.5-2.5hr,A1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,R1,YL2-A,,5748,57.480,57.480
Invasion 1.5-2.5hr,A1,R1,FSC-H,SSC-H,5748,57.480,57.480
Invasion 1.5-2.5hr,A1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,mCherry-/GFP+,YL2-A,BL1-A,3618,36.180,62.944
Invasion 1.5-2.5hr,A1,mCherry+/GFP+,YL2-A,BL1-A,121,1.210,2.105
Invasion 1.5-2.5hr,A1,mCherry-/GFP-,YL2-A,BL1-A,1286,12.860,22.373
Invasion 1.5-2.5hr,A1,mCherry+/GFP-,YL2-A,BL1-A,723,7.230,12.578
Invasion 1.5-2.5hr,A1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,R1,YL2-A,BL1-A,5748,57.480,57.480
Invasion 1.5-2.5hr,A1,R2,BL1-A,YL2-A,295,2.950,71.602
Invasion 1.5-2.5hr,A1,R4,BL1-A,YL2-A,63,0.630,15.291
Invasion 1.5-2.5hr,A1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,mCh+,BL1-A,YL2-A,412,4.120,4.120
Invasion 1.5-2.5hr,A1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,R2,YL2-A,,295,2.950,2.950
Invasion 1.5-2.5hr,A1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,R3,BL1-A,,2876,28.760,28.760
Invasion 1.5-2.5hr,A1,R3,BL1-A,YL2-A,2876,28.760,80.628
Invasion 1.5-2.5hr,A1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,GFP+,BL1-A,YL2-A,3567,35.670,35.670
Invasion 1.5-2.5hr,A1,All Events,FSC-A,SSC-A,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,R4,FSC-A,SSC-A,63,0.630,0.630
Invasion 1.5-2.5hr,A1,All Events,FSC-A,FSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,A1,R1,FSC-A,FSC-H,5748,57.480,57.480
Invasion 1.5-2.5hr,A1,LG1,,,412,4.120,4.120
Invasion 1.5-2.5hr,B1,GFP+,BL1-A,,5299,52.990,64.394
Invasion 1.5-2.5hr,B1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,R1,BL1-A,,8229,82.290,82.290
Invasion 1.5-2.5hr,B1,mCh+,YL2-A,,920,9.200,11.180
Invasion 1.5-2.5hr,B1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,R1,YL2-A,,8229,82.290,82.290
Invasion 1.5-2.5hr,B1,R1,FSC-H,SSC-H,8229,82.290,82.290
Invasion 1.5-2.5hr,B1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,mCherry-/GFP+,YL2-A,BL1-A,4876,48.760,59.254
Invasion 1.5-2.5hr,B1,mCherry+/GFP+,YL2-A,BL1-A,952,9.520,11.569
Invasion 1.5-2.5hr,B1,mCherry-/GFP-,YL2-A,BL1-A,1454,14.540,17.669
Invasion 1.5-2.5hr,B1,mCherry+/GFP-,YL2-A,BL1-A,947,9.470,11.508
Invasion 1.5-2.5hr,B1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,R1,YL2-A,BL1-A,8229,82.290,82.290
Invasion 1.5-2.5hr,B1,R2,BL1-A,YL2-A,83,0.830,9.022
Invasion 1.5-2.5hr,B1,R4,BL1-A,YL2-A,429,4.290,46.630
Invasion 1.5-2.5hr,B1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,mCh+,BL1-A,YL2-A,920,9.200,9.200
Invasion 1.5-2.5hr,B1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,R2,YL2-A,,83,0.830,0.830
Invasion 1.5-2.5hr,B1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,R3,BL1-A,,3437,34.370,34.370
Invasion 1.5-2.5hr,B1,R3,BL1-A,YL2-A,3437,34.370,64.861
Invasion 1.5-2.5hr,B1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,GFP+,BL1-A,YL2-A,5299,52.990,52.990
Invasion 1.5-2.5hr,B1,All Events,FSC-A,SSC-A,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,R4,FSC-A,SSC-A,429,4.290,4.290
Invasion 1.5-2.5hr,B1,All Events,FSC-A,FSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,B1,R1,FSC-A,FSC-H,8229,82.290,82.290
Invasion 1.5-2.5hr,B1,LG1,,,920,9.200,9.200
Invasion 1.5-2.5hr,C1,GFP+,BL1-A,,5812,58.120,68.120
Invasion 1.5-2.5hr,C1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,R1,BL1-A,,8532,85.320,85.320
Invasion 1.5-2.5hr,C1,mCh+,YL2-A,,1173,11.730,13.748
Invasion 1.5-2.5hr,C1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,R1,YL2-A,,8532,85.320,85.320
Invasion 1.5-2.5hr,C1,R1,FSC-H,SSC-H,8532,85.320,85.320
Invasion 1.5-2.5hr,C1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,mCherry-/GFP+,YL2-A,BL1-A,5450,54.500,63.877
Invasion 1.5-2.5hr,C1,mCherry+/GFP+,YL2-A,BL1-A,1489,14.890,17.452
Invasion 1.5-2.5hr,C1,mCherry-/GFP-,YL2-A,BL1-A,733,7.330,8.591
Invasion 1.5-2.5hr,C1,mCherry+/GFP-,YL2-A,BL1-A,860,8.600,10.080
Invasion 1.5-2.5hr,C1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,R1,YL2-A,BL1-A,8532,85.320,85.320
Invasion 1.5-2.5hr,C1,R2,BL1-A,YL2-A,67,0.670,5.712
Invasion 1.5-2.5hr,C1,R4,BL1-A,YL2-A,581,5.810,49.531
Invasion 1.5-2.5hr,C1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,mCh+,BL1-A,YL2-A,1173,11.730,11.730
Invasion 1.5-2.5hr,C1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,R2,YL2-A,,67,0.670,0.670
Invasion 1.5-2.5hr,C1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,R3,BL1-A,,3550,35.500,35.500
Invasion 1.5-2.5hr,C1,R3,BL1-A,YL2-A,3550,35.500,61.081
Invasion 1.5-2.5hr,C1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,GFP+,BL1-A,YL2-A,5812,58.120,58.120
Invasion 1.5-2.5hr,C1,All Events,FSC-A,SSC-A,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,R4,FSC-A,SSC-A,581,5.810,5.810
Invasion 1.5-2.5hr,C1,All Events,FSC-A,FSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,C1,R1,FSC-A,FSC-H,8532,85.320,85.320
Invasion 1.5-2.5hr,C1,LG1,,,1173,11.730,11.730
Invasion 1.5-2.5hr,D1,GFP+,BL1-A,,5346,53.460,65.643
Invasion 1.5-2.5hr,D1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,R1,BL1-A,,8144,81.440,81.440
Invasion 1.5-2.5hr,D1,mCh+,YL2-A,,1458,14.580,17.903
Invasion 1.5-2.5hr,D1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,R1,YL2-A,,8144,81.440,81.440
Invasion 1.5-2.5hr,D1,R1,FSC-H,SSC-H,8144,81.440,81.440
Invasion 1.5-2.5hr,D1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,mCherry-/GFP+,YL2-A,BL1-A,4601,46.010,56.496
Invasion 1.5-2.5hr,D1,mCherry+/GFP+,YL2-A,BL1-A,1473,14.730,18.087
Invasion 1.5-2.5hr,D1,mCherry-/GFP-,YL2-A,BL1-A,700,7.000,8.595
Invasion 1.5-2.5hr,D1,mCherry+/GFP-,YL2-A,BL1-A,1370,13.700,16.822
Invasion 1.5-2.5hr,D1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,R1,YL2-A,BL1-A,8144,81.440,81.440
Invasion 1.5-2.5hr,D1,R2,BL1-A,YL2-A,115,1.150,7.888
Invasion 1.5-2.5hr,D1,R4,BL1-A,YL2-A,671,6.710,46.022
Invasion 1.5-2.5hr,D1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,mCh+,BL1-A,YL2-A,1458,14.580,14.580
Invasion 1.5-2.5hr,D1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,R2,YL2-A,,115,1.150,1.150
Invasion 1.5-2.5hr,D1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,R3,BL1-A,,3136,31.360,31.360
Invasion 1.5-2.5hr,D1,R3,BL1-A,YL2-A,3136,31.360,58.661
Invasion 1.5-2.5hr,D1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,GFP+,BL1-A,YL2-A,5346,53.460,53.460
Invasion 1.5-2.5hr,D1,All Events,FSC-A,SSC-A,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,R4,FSC-A,SSC-A,671,6.710,6.710
Invasion 1.5-2.5hr,D1,All Events,FSC-A,FSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,D1,R1,FSC-A,FSC-H,8144,81.440,81.440
Invasion 1.5-2.5hr,D1,LG1,,,1458,14.580,14.580
Invasion 1.5-2.5hr,E1,GFP+,BL1-A,,5002,50.020,60.149
Invasion 1.5-2.5hr,E1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,R1,BL1-A,,8316,83.160,83.160
Invasion 1.5-2.5hr,E1,mCh+,YL2-A,,2065,20.650,24.832
Invasion 1.5-2.5hr,E1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,R1,YL2-A,,8316,83.160,83.160
Invasion 1.5-2.5hr,E1,R1,FSC-H,SSC-H,8316,83.160,83.160
Invasion 1.5-2.5hr,E1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,mCherry-/GFP+,YL2-A,BL1-A,4301,43.010,51.720
Invasion 1.5-2.5hr,E1,mCherry+/GFP+,YL2-A,BL1-A,1918,19.180,23.064
Invasion 1.5-2.5hr,E1,mCherry-/GFP-,YL2-A,BL1-A,461,4.610,5.544
Invasion 1.5-2.5hr,E1,mCherry+/GFP-,YL2-A,BL1-A,1636,16.360,19.673
Invasion 1.5-2.5hr,E1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,R1,YL2-A,BL1-A,8316,83.160,83.160
Invasion 1.5-2.5hr,E1,R2,BL1-A,YL2-A,145,1.450,7.022
Invasion 1.5-2.5hr,E1,R4,BL1-A,YL2-A,859,8.590,41.598
Invasion 1.5-2.5hr,E1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,mCh+,BL1-A,YL2-A,2065,20.650,20.650
Invasion 1.5-2.5hr,E1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,R2,YL2-A,,145,1.450,1.450
Invasion 1.5-2.5hr,E1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,R3,BL1-A,,2691,26.910,26.910
Invasion 1.5-2.5hr,E1,R3,BL1-A,YL2-A,2691,26.910,53.798
Invasion 1.5-2.5hr,E1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,GFP+,BL1-A,YL2-A,5002,50.020,50.020
Invasion 1.5-2.5hr,E1,All Events,FSC-A,SSC-A,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,R4,FSC-A,SSC-A,859,8.590,8.590
Invasion 1.5-2.5hr,E1,All Events,FSC-A,FSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,E1,R1,FSC-A,FSC-H,8316,83.160,83.160
Invasion 1.5-2.5hr,E1,LG1,,,2065,20.650,20.650
Invasion 1.5-2.5hr,F1,GFP+,BL1-A,,5044,50.440,61.392
Invasion 1.5-2.5hr,F1,All Events,BL1-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,F1,R1,BL1-A,,8216,82.160,82.160
Invasion 1.5-2.5hr,F1,mCh+,YL2-A,,1748,17.480,21.276
Invasion 1.5-2.5hr,F1,All Events,YL2-A,,10000,100.000,100.000
Invasion 1.5-2.5hr,F1,R1,YL2-A,,8216,82.160,82.160
Invasion 1.5-2.5hr,F1,R1,FSC-H,SSC-H,8216,82.160,82.160
Invasion 1.5-2.5hr,F1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 1.5-2.5hr,F1,mCherry-/GFP+,YL2-A,BL1-A,4420,44.200,53.797
Invasion 1.5-2.5hr,F1,mCherry+/GFP+,YL2-A,BL1-A,1574,15.740,19.158
Invasion 1.5-2.5hr,F1,mCherry-/GFP-,YL2-A,BL1-A,545,5.450,6.633
Invasion 1.5-2.5hr,F1,mCherry+/GFP-,YL2-A,BL1-A,1677,16.770,20.411
Invasion 1.5-2.5hr,F1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 1.5-2.5hr,F1,R1,YL2-A,BL1-A,8216,82.160,82.160
