Plate,Sample,Gate,X Parameter,Y Parameter,Count,%Total,%Gated
Invasion 3-4hrs,A1,GFP+,BL1-A,,2461,24.610,53.005
Invasion 3-4hrs,A1,All Events,BL1-A,,10000,100.000,100.000
Invasion 3-4hrs,A1,R1,BL1-A,,4643,46.430,46.430
Invasion 3-4hrs,A1,mCh+,YL2-A,,471,4.710,10.144
Invasion 3-4hrs,A1,All Events,YL2-A,,10000,100.000,100.000
Invasion 3-4hrs,A1,R1,YL2-A,,4643,46.430,46.430
Invasion 3-4hrs,A1,R1,FSC-H,SSC-H,4643,46.430,46.430
Invasion 3-4hrs,A1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 3-4hrs,A1,mCherry-/GFP+,YL2-A,BL1-A,2472,24.720,53.241
Invasion 3-4hrs,A1,mCherry+/GFP+,YL2-A,BL1-A,133,1.330,2.865
Invasion 3-4hrs,A1,mCherry-/GFP-,YL2-A,BL1-A,1005,10.050,21.645
Invasion 3-4hrs,A1,mCherry+/GFP-,YL2-A,BL1-A,1033,10.330,22.249
Invasion 3-4hrs,A1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 3-4hrs,A1,R1,YL2-A,BL1-A,4643,46.430,46.430
Invasion 3-4hrs,A1,R2,BL1-A,YL2-A,374,3.740,79.406
Invasion 3-4hrs,A1,R4,BL1-A,YL2-A,65,0.650,13.800
Invasion 3-4hrs,A1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 3-4hrs,A1,mCh+,BL1-A,YL2-A,471,4.710,4.710
Invasion 3-4hrs,A1,All Events,YL2-A,,10000,100.000,100.000
Invasion 3-4hrs,A1,R2,YL2-A,,374,3.740,3.740
Invasion 3-4hrs,A1,All Events,BL1-A,,10000,100.000,100.000
Invasion 3-4hrs,A1,R3,BL1-A,,1894,18.940,18.940
Invasion 3-4hrs,A1,R3,BL1-A,YL2-A,1894,18.940,76.961
Invasion 3-4hrs,A1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 3-4hrs,A1,GFP+,BL1-A,YL2-A,2461,24.610,24.610
Invasion 3-4hrs,A1,All Events,FSC-A,SSC-A,10000,100.000,100.000
Invasion 3-4hrs,A1,R4,FSC-A,SSC-A,65,0.650,0.650
Invasion 3-4hrs,A1,All Events,FSC-A,FSC-H,10000,100.000,100.000
Invasion 3-4hrs,A1,R1,FSC-A,FSC-H,4643,46.430,46.430
Invasion 3-4hrs,A1,LG1,,,471,4.710,4.710
Invasion 3-4hrs,B1,GFP+,BL1-A,,5117,51.170,64.373
Invasion 3-4hrs,B1,All Events,BL1-A,,10000,100.000,100.000
Invasion 3-4hrs,B1,R1,BL1-A,,7949,79.490,79.490
Invasion 3-4hrs,B1,mCh+,YL2-A,,676,6.760,8.504
Invasion 3-4hrs,B1,All Events,YL2-A,,10000,100.000,100.000
Invasion 3-4hrs,B1,R1,YL2-A,,7949,79.490,79.490
Invasion 3-4hrs,B1,R1,FSC-H,SSC-H,7949,79.490,79.490
Invasion 3-4hrs,B1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 3-4hrs,B1,mCherry-/GFP+,YL2-A,BL1-A,4869,48.690,61.253
Invasion 3-4hrs,B1,mCherry+/GFP+,YL2-A,BL1-A,604,6.040,7.598
Invasion 3-4hrs,B1,mCherry-/GFP-,YL2-A,BL1-A,1473,14.730,18.531
Invasion 3-4hrs,B1,mCherry+/GFP-,YL2-A,BL1-A,1003,10.030,12.618
Invasion 3-4hrs,B1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 3-4hrs,B1,R1,YL2-A,BL1-A,7949,79.490,79.490
Invasion 3-4hrs,B1,R2,BL1-A,YL2-A,93,0.930,13.757
Invasion 3-4hrs,B1,R4,BL1-A,YL2-A,235,2.350,34.763
Invasion 3-4hrs,B1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 3-4hrs,B1,mCh+,BL1-A,YL2-A,676,6.760,6.760
Invasion 3-4hrs,B1,All Events,YL2-A,,10000,100.000,100.000
Invasion 3-4hrs,B1,R2,YL2-A,,93,0.930,0.930
Invasion 3-4hrs,B1,All Events,BL1-A,,10000,100.000,100.000
Invasion 3-4hrs,B1,R3,BL1-A,,3651,36.510,36.510
Invasion 3-4hrs,B1,R3,BL1-A,YL2-A,3651,36.510,71.350
Invasion 3-4hrs,B1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 3-4hrs,B1,GFP+,BL1-A,YL2-A,5117,51.170,51.170
Invasion 3-4hrs,B1,All Events,FSC-A,SSC-A,10000,100.000,100.000
Invasion 3-4hrs,B1,R4,FSC-A,SSC-A,235,2.350,2.350
Invasion 3-4hrs,B1,All Events,FSC-A,FSC-H,10000,100.000,100.000
Invasion 3-4hrs,B1,R1,FSC-A,FSC-H,7949,79.490,79.490
Invasion 3-4hrs,B1,LG1,,,676,6.760,6.760
Invasion 3-4hrs,C1,GFP+,BL1-A,,5074,50.740,63.568
Invasion 3-4hrs,C1,All Events,BL1-A,,10000,100.000,100.000
Invasion 3-4hrs,C1,R1,BL1-A,,7982,79.820,79.820
Invasion 3-4hrs,C1,mCh+,YL2-A,,1250,12.500,15.660
Invasion 3-4hrs,C1,All Events,YL2-A,,10000,100.000,100.000
Invasion 3-4hrs,C1,R1,YL2-A,,7982,79.820,79.820
Invasion 3-4hrs,C1,R1,FSC-H,SSC-H,7982,79.820,79.820
Invasion 3-4hrs,C1,All Events,FSC-H,SSC-H,10000,100.000,100.000
Invasion 3-4hrs,C1,mCherry-/GFP+,YL2-A,BL1-A,4722,47.220,59.158
Invasion 3-4hrs,C1,mCherry+/GFP+,YL2-A,BL1-A,1020,10.200,12.779
Invasion 3-4hrs,C1,mCherry-/GFP-,YL2-A,BL1-A,781,7.810,9.785
Invasion 3-4hrs,C1,mCherry+/GFP-,YL2-A,BL1-A,1459,14.590,18.279
Invasion 3-4hrs,C1,All Events,YL2-A,BL1-A,10000,100.000,100.000
Invasion 3-4hrs,C1,R1,YL2-A,BL1-A,7982,79.820,79.820
Invasion 3-4hrs,C1,R2,BL1-A,YL2-A,156,1.560,12.480
Invasion 3-4hrs,C1,R4,BL1-A,YL2-A,465,4.650,37.200
Invasion 3-4hrs,C1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 3-4hrs,C1,mCh+,BL1-A,YL2-A,1250,12.500,12.500
Invasion 3-4hrs,C1,All Events,YL2-A,,10000,100.000,100.000
Invasion 3-4hrs,C1,R2,YL2-A,,156,1.560,1.560
Invasion 3-4hrs,C1,All Events,BL1-A,,10000,100.000,100.000
Invasion 3-4hrs,C1,R3,BL1-A,,3254,32.540,32.540
Invasion 3-4hrs,C1,R3,BL1-A,YL2-A,3254,32.540,64.131
Invasion 3-4hrs,C1,All Events,BL1-A,YL2-A,10000,100.000,100.000
Invasion 3-4hrs,C1,GFP+,BL1-A,YL2-A,5074,50.740,50.740
Invasion 3-4hrs,C1,All Events,FSC-A,SSC-A,10000,100.000,100.000
Invasion 3-4hrs,C1,R4,FSC-A,SSC-A,465,4.650,4.650
Invasion 3-4hrs,C1,All Events,FSC-A,FSC-H,10000,100.000,100.000
Invasion 3-4hrs,C1,R1,FSC-A,FSC-H,7982,79.820,79.820
Invasion 3-4hrs,C1,LG1,,,1250,12.500,12.500
Invasion 3-4hrs,D1,GFP+,BL1-A,,5391,53.910,65.322
Invasion 3-4hrs,D1,All Events,BL1-A,,10000,100.000,100.000
Invasion 3-4hrs,D1,R1,BL1-A,,8253,82.530,82.530
Invasion 3-4hrs,D1,mCh+,YL2-A,,1479,14.790,17.921
Invasion 3-4hrs,D1,All Events,YL2-A,,10000,100.000,100.000
Invasion 3-4hrs,D1,R1,YL2-A,,8253,82.530,82.530
Invasion 3-4hrs,D1,R1,FSC-H,SSC-H,8253,82.530,82.530
